unique_id,model,ME,MAE,RMSE,MAPE
hotel_42,NHITS,0.02131412243921219,0.24885564866968266,0.30042703487619216,48.077198594517824
hotel_42,LGBMRegressor,-0.009067269681400232,0.18808055739731888,0.23153320806748034,39.12376726565236
hotel_49,Naive,-0.09643377001455608,0.0967456851736328,0.12434283070691626,16.2593929681648
hotel_49,SeasonalNaive,-0.029475982532751098,0.09539405281763362,0.12229023550166332,15.403906288887198
hotel_49,AutoETS,-0.04966493978963717,0.06619618967541956,0.08953302832354994,11.09388178806818
hotel_49,NBEATS,-0.06335965888394615,0.08447356335857499,0.11356736980113603,13.959832001361349
hotel_49,NHITS,-0.0802139635268505,0.09290990278041147,0.12355801720629489,15.46660366941406
hotel_49,LGBMRegressor,-0.050367997849474225,0.08241932157390865,0.103394557841847,13.372026355624847
hotel_56,Naive,-0.043948412698412695,0.07390873015873019,0.11445248661834174,9.276767007876952
hotel_56,SeasonalNaive,0.0016865079365079357,0.09077380952380955,0.13297633258010624,10.55597408336197
hotel_56,AutoETS,0.0018524618446053337,0.07880853510598912,0.10406093244115759,9.185442763383275
hotel_56,NBEATS,-0.015039504567782094,0.07129049854619163,0.10130753590249188,8.545360271541664
hotel_56,NHITS,-0.035246913206009645,0.07167942751021611,0.10620754133664194,8.844784017856437
hotel_56,LGBMRegressor,0.03950007684133775,0.09031343129643947,0.11737651102583758,10.168838836747783
hotel_63,Naive,-0.07232804232804232,0.16587301587301587,0.21306475598051097,28.0955708409861
hotel_63,SeasonalNaive,0.006825396825396827,0.15105820105820106,0.19026081297716696,23.28219359504269
hotel_63,AutoETS,0.04820501405564698,0.1322696246772762,0.16107687509472327,19.270573272843464
hotel_63,NBEATS,-0.029064984892411203,0.12860118866282166,0.15779715986974127,20.777371424197163
hotel_63,NHITS,-0.023200952924748573,0.14416157037492783,0.17228791775613445,23.030768257356588
hotel_63,LGBMRegressor,-0.016280131438483673,0.12209249269297165,0.14591057251705472,19.12403665037504
hotel_7,Naive,-0.17572126570497906,0.2048433379866605,0.24992205346109195,51.664055334384074
hotel_7,SeasonalNaive,-0.051787653172018,0.15772840080657669,0.19686503638999092,34.49116054976585
hotel_7,AutoETS,-0.05949424040658674,0.14512315928550037,0.17350006079039768,33.43388997663614
hotel_7,NBEATS,-0.057196941765839136,0.15117926730242595,0.18289768576353024,34.65706361126218
hotel_7,NHITS,-0.07305541457858256,0.1522094992756363,0.18400260159809245,36.29092143706493
hotel_7,LGBMRegressor,-0.09415296274931867,0.16487128244505975,0.2062185295991651,38.19440248482108
hotel_70,Naive,0.03529657477025901,0.0746658312447786,0.0939856585883433,17.344963089853373
hotel_70,SeasonalNaive,0.06725146198830412,0.13721804511278193,0.16779915771241227,31.894967374714916
hotel_70,AutoETS,0.09213946800059196,0.09912549435380316,0.12202040669730803,21.22222323102186
hotel_70,NBEATS,0.06459854880570369,0.11709945150335932,0.14175161654909724,26.658160630092603
hotel_70,NHITS,0.061493503376405835,0.10314370825600404,0.12474073292215863,23.356837108217558
hotel_70,LGBMRegressor,0.04801306693389738,0.09969118412131299,0.12550309345321592,22.694085387920516
hotel_84,Naive,0.012151919591365953,0.11340418520349317,0.1485928921979439,14.767020784216905
hotel_84,SeasonalNaive,0.05021420332839017,0.15484429065743943,0.19262032039572347,19.929479941808196
hotel_84,AutoETS,0.09709685232340155,0.13514734631512365,0.16323726181160214,16.263617299496968
hotel_84,NBEATS,0.03920988338569927,0.10983021509943969,0.13667919248925198,14.080408279898716
hotel_84,NHITS,0.052151616388361945,0.1228229366249024,0.1576218065670016,15.392783874729272
hotel_84,LGBMRegressor,0.050470642068552375,0.1135580324611121,0.1358862561139222,14.367310384486004
hotel_91,Naive,-0.13041733547351525,0.13951310861423222,0.21439289696742228,22.709648311837086
hotel_91,SeasonalNaive,0.008694489031567686,0.19997324772605674,0.2625036123909473,26.186119306308424
hotel_91,AutoETS,-0.09815608156676056,0.12864993348659898,0.18689394639883244,20.0524702474734
hotel_91,NBEATS,-0.052304217925742705,0.13614772385362,0.1808406903157846,20.30089215565181
hotel_91,NHITS,-0.09828068571112385,0.1410139358461445,0.19928611568409513,22.03025492745891
hotel_91,LGBMRegressor,0.06107166864599465,0.15346954858859882,0.18469764355008297,19.5676679228836
hotel_98,Naive,-0.10599078341013826,0.17377112135176648,0.20305170168776573,127.42367452627515
hotel_98,SeasonalNaive,-0.047619047619047596,0.14765745007680492,0.2106132371957594,88.01360537803481
hotel_98,AutoETS,-0.01892612248596878,0.12926422961246103,0.1603061101429934,77.89536671203236
hotel_98,NBEATS,-0.038555471300964345,0.11528464889986449,0.14363861578576975,78.24254327168619
hotel_98,NHITS,-0.05688117292299066,0.13082231117695708,0.15432658472675762,95.28401743083607
hotel_98,LGBMRegressor,-0.08836181100232314,0.14526392027118498,0.17584660959472234,107.96697048636304
